sheet_name,column_name,description,example_value
jobs_like,global_product_name,Product label (Eats/UberX/UberPool/UberBlack/UberGreen).,UberX
jobs_like,product_type_name,Same as product label (for convenience).,UberX
jobs_like,fulfillment_job_status,Job state; 'completed' in this mock.,completed
earnings_daily,earner_id,Driver/courier (joins to earners).,E10000
earnings_daily,city_id,City of activity for that day.,4
earnings_daily,date,Date of the activity (YYYY-MM-DD).,2023-01-12
earnings_daily,trips_count,Rides completed that day by the earner.,1
earnings_daily,rides_distance_km,Total ride distance (km).,8.09
earnings_daily,rides_duration_mins,Total ride duration (mins).,34
earnings_daily,rides_gross_fare,Sum of ride fares (EUR).,12.57
earnings_daily,rides_net_earnings,Sum of driver ride earnings (EUR).,9.43
earnings_daily,rides_tips,Sum of ride tips (EUR).,0
earnings_daily,orders_count,Eats orders delivered that day by the earner.,0
earnings_daily,eats_distance_km,Total delivery distance (km).,0
earnings_daily,eats_duration_mins,Total delivery duration (mins).,0
earnings_daily,eats_delivery_fee,Sum of delivery fees earned (EUR).,0
earnings_daily,eats_net_earnings,Sum of courier delivery earnings (EUR).,0
earnings_daily,eats_tips,Sum of delivery tips (EUR).,0
earnings_daily,total_jobs,trips_count + orders_count.,1
earnings_daily,total_net_earnings,rides_net_earnings + eats_net_earnings.,9.43
earnings_daily,total_tips,rides_tips + eats_tips.,0
earnings_daily,week,"ISO week label (e.g., 2023-W07).",2023-W02
incentives_weekly,earner_id,Driver/courier (joins to earners).,E10000
incentives_weekly,week,"ISO week for the quest (e.g., 2023-W07).",2023-W02
incentives_weekly,program,rides_quest or eats_quest.,rides_quest
incentives_weekly,target_jobs,Quest target (jobs to complete to earn bonus).,25
incentives_weekly,completed_jobs,Jobs completed by the earner in that week and program.,2
incentives_weekly,achieved,Whether the earner met the target.,False
incentives_weekly,bonus_eur,Bonus payout if achieved (EUR).,40
surge_by_hour,city_id,City identifier.,1
surge_by_hour,hour,Hour of day (0–23).,0
surge_by_hour,surge_multiplier,Baseline surge multiplier for rides pricing.,0.97
cancellation_rates,city_id,City identifier.,1
cancellation_rates,hexagon_id9,Synthetic H3-like hex for pickup area.,89006b0cd89bafa
cancellation_rates,job_count,Observed jobs in that area (rides+eats).,1
cancellation_rates,cancellation_rate_pct,Synthetic cancellation percentage for the area.,3.19
heatmap,msg.city_id,City identifier in the heatmap message.,1
heatmap,msg.map_id,Heatmap map identifier.,map-1
heatmap,msg.currency_code,Currency code (EUR).,EUR
heatmap,msg.earnings_heatmap_type,Type of heatmap (supply_demand).,supply_demand
heatmap,msg.predictions.hexagon_id_9,Hex keyed to pickup areas.,89006b0cd89bafa
heatmap,msg.predictions.predicted_eph,Predicted earnings per hour for the hex (EUR/hr).,22.18
heatmap,msg.predictions.predicted_std,Uncertainty of the eph prediction.,4.28
heatmap,msg.predictions.in_final_heatmap,Boolean flag indicating inclusion in final map.,True
weather_daily,date,Calendar date (YYYY-MM-DD).,2023-01-01
weather_daily,city_id,City identifier.,1
weather_daily,weather,Daily weather bucket: clear/rain/snow.,clear
